posicion,porcentaje,votos_validos,votos_blancos,votos_nulos,diferencia_lider,proporcion_votos,categoria_encoded
-1.5666989036012806,2.0040986955665745,0.0,1.1102230246251565e-16,4.440892098500626e-16,-2.004098695566574,2.0040986955665745,-1.8605210188381267
-1.2185435916898848,1.9925937804107627,0.0,1.1102230246251565e-16,4.440892098500626e-16,-1.9925937804107623,1.9925937804107627,-1.8605210188381267
-0.8703882797784892,-0.382020707748719,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.3820207077487192,-0.3820207077487189,-0.6201736729460422
-0.5222329678670935,-0.4953441220334616,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.49534412203346184,-0.4953441220334616,0.6201736729460422
-0.17407765595569785,-0.51375198628276,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.5137519862827602,-0.5137519862827599,0.6201736729460422
0.17407765595569785,-0.51375198628276,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.5137519862827602,-0.5137519862827599,0.6201736729460422
0.5222329678670935,-0.5183539523450845,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.5183539523450846,-0.5183539523450845,0.6201736729460422
0.8703882797784892,-0.5223806726496185,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.5223806726496186,-0.5223806726496185,0.6201736729460422
1.2185435916898848,-0.5241064099229902,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.5241064099229904,-0.5241064099229903,0.6201736729460422
1.5666989036012806,-0.5269826387119432,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.5269826387119432,-0.5269826387119431,0.6201736729460422
